actors,director,movie_name
Michael Biehn,James Cameron,The Terminator
Paul Winfield,James Cameron,The Terminator
Lance Henriksen,James Cameron,The Terminator
Rick Rossovich,James Cameron,The Terminator
Bess Motta,James Cameron,The Terminator
Earl Boen,James Cameron,The Terminator
Dick Miller,James Cameron,The Terminator
Shawn Schepps,James Cameron,The Terminator
Bruce M. Kerner,James Cameron,The Terminator
Franco Columbu,James Cameron,The Terminator
Bill Paxton,James Cameron,The Terminator
Brad Rearden,James Cameron,The Terminator
Brian Thompson,James Cameron,The Terminator
William Wisher,James Cameron,The Terminator
Ken Fritz,James Cameron,The Terminator
Tom Oberhaus,James Cameron,The Terminator
Tom Oberhaus,James Cameron,The Terminator
Hugh Jackman,James Mangold,Logan
Patrick Stewart,James Mangold,Logan
Dafne Keen,James Mangold,Logan
Boyd Holbrook,James Mangold,Logan
Stephen Merchant,James Mangold,Logan
Elizabeth Rodriguez,James Mangold,Logan
Richard E. Grant,James Mangold,Logan
Eriq La Salle,James Mangold,Logan
Elise Neal,James Mangold,Logan
Quincy Fouse,James Mangold,Logan
Al Coronel,James Mangold,Logan
Frank Gallegos,James Mangold,Logan
Anthony Escobar,James Mangold,Logan
Reynaldo Gallegos,James Mangold,Logan
Krzysztof Soszynski,James Mangold,Logan
Stephen Dunlevy,James Mangold,Logan
Daniel Bernhardt,James Mangold,Logan
Ryan Sturz,James Mangold,Logan
Ryan Sturz,James Mangold,Logan
Wil Wheaton,Rob Reiner,Stand by Me
River Phoenix,Rob Reiner,Stand by Me
Corey Feldman,Rob Reiner,Stand by Me
Jerry O'Connell,Rob Reiner,Stand by Me
Kiefer Sutherland,Rob Reiner,Stand by Me
Casey Siemaszko,Rob Reiner,Stand by Me
Gary Riley,Rob Reiner,Stand by Me
Bradley Gregg,Rob Reiner,Stand by Me
Jason Oliver Lipsett,Rob Reiner,Stand by Me
Marshall Bell,Rob Reiner,Stand by Me
Frances Lee McCain,Rob Reiner,Stand by Me
Bruce Kirby,Rob Reiner,Stand by Me
William Bronder,Rob Reiner,Stand by Me
Scott Beach,Rob Reiner,Stand by Me
Richard Dreyfuss,Rob Reiner,Stand by Me
John Cusack,Rob Reiner,Stand by Me
Madeleine Swift,Rob Reiner,Stand by Me
Popeye,Rob Reiner,Stand by Me
Popeye,Rob Reiner,Stand by Me
Daniel Brühl,Ron Howard,Rush
Chris Hemsworth,Ron Howard,Rush
Olivia Wilde,Ron Howard,Rush
Alexandra Maria Lara,Ron Howard,Rush
Pierfrancesco Favino,Ron Howard,Rush
David Calder,Ron Howard,Rush
Natalie Dormer,Ron Howard,Rush
Stephen Mangan,Ron Howard,Rush
Christian McKay,Ron Howard,Rush
Alistair Petrie,Ron Howard,Rush
Julian Rhind-Tutt,Ron Howard,Rush
Colin Stinton,Ron Howard,Rush
Jamie de Courcey,Ron Howard,Rush
Augusto Dallara,Ron Howard,Rush
Ilario Calvo,Ron Howard,Rush
Patrick Baladi,Ron Howard,Rush
Vincent Riotta,Ron Howard,Rush
Martin Savage,Ron Howard,Rush
Martin Savage,Ron Howard,Rush
Faye Dunaway,Sidney Lumet,Network
William Holden,Sidney Lumet,Network
Peter Finch,Sidney Lumet,Network
Robert Duvall,Sidney Lumet,Network
Wesley Addy,Sidney Lumet,Network
Ned Beatty,Sidney Lumet,Network
Arthur Burghardt,Sidney Lumet,Network
Bill Burrows,Sidney Lumet,Network
John Carpenter,Sidney Lumet,Network
