actors,director,movie_name
Bunny Beatty,Alfred Hitchcock,Rebecca
Billy Bevan,Alfred Hitchcock,Rebecca
Billy Bevan,Alfred Hitchcock,Rebecca
Paul Newman,Stuart Rosenberg,Cool Hand Luke
George Kennedy,Stuart Rosenberg,Cool Hand Luke
Strother Martin,Stuart Rosenberg,Cool Hand Luke
J.D. Cannon,Stuart Rosenberg,Cool Hand Luke
Lou Antonio,Stuart Rosenberg,Cool Hand Luke
Robert Drivas,Stuart Rosenberg,Cool Hand Luke
Jo Van Fleet,Stuart Rosenberg,Cool Hand Luke
Clifton James,Stuart Rosenberg,Cool Hand Luke
Morgan Woodward,Stuart Rosenberg,Cool Hand Luke
Luke Askew,Stuart Rosenberg,Cool Hand Luke
Marc Cavell,Stuart Rosenberg,Cool Hand Luke
Richard Davalos,Stuart Rosenberg,Cool Hand Luke
Robert Donner,Stuart Rosenberg,Cool Hand Luke
Warren Finnerty,Stuart Rosenberg,Cool Hand Luke
Dennis Hopper,Stuart Rosenberg,Cool Hand Luke
John McLiam,Stuart Rosenberg,Cool Hand Luke
Wayne Rogers,Stuart Rosenberg,Cool Hand Luke
Harry Dean Stanton,Stuart Rosenberg,Cool Hand Luke
Harry Dean Stanton,Stuart Rosenberg,Cool Hand Luke
Kim Min-hee,Park Chan-wook,The Handmaiden
Ha Jung-woo,Park Chan-wook,The Handmaiden
Cho Jin-woong,Park Chan-wook,The Handmaiden
Moon So-ri,Park Chan-wook,The Handmaiden
Kim Tae-ri,Park Chan-wook,The Handmaiden
Yong-nyeo Lee,Park Chan-wook,The Handmaiden
Min-chae Yoo,Park Chan-wook,The Handmaiden
Dong-hwi Lee,Park Chan-wook,The Handmaiden
Kim Hae-sook,Park Chan-wook,The Handmaiden
